|__West Bengal,|__Punjab,|__Karnataka,|__Kerala,|__Himachal Pradesh,|__Jharkhand,|__Rajasthan,|__Bihar,|__Tamil Nadu,|__Uttar Pradesh,|__Delhi,|__Andhra Pradesh,|__Maharashtra,|__Jammu and Kashmir,|__Orissa,|__Gujarat,|__Uttarakhand,|__Haryana,|__Andaman and Nicobar,|__Madhya Pradesh,|__Telangana,|__Chandigarh,|__Assam,|__Meghalaya,|__Dadra and Nagar Haveli,|__Chhattisgarh,|__Ladakh,|__Puducherry,|__Tripura,|__Goa,|__Arunachal Pradesh,|__Manipur,|__Mizoram
58,11,29,3,1,1,44,21,7,94,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6,18,10,1,7,76,27,54,61,128,80,778,27,7,217,1,6,4,83,27,0,1,0,0,0,0,0,0,0,0,0,0
31,21,9,11,0,0,153,17,33,110,92,56,431,27,1,229,0,9,1,58,15,0,0,0,0,0,0,0,0,0,0,0,0
53,12,12,19,0,2,159,13,76,155,75,35,552,12,3,239,0,4,1,80,56,0,0,0,0,0,0,0,0,0,0,0,0
29,7,16,6,0,3,98,17,43,91,78,75,466,14,18,196,2,1,1,69,14,1,0,1,0,0,0,0,0,0,0,0,0
23,4,6,2,0,7,127,10,105,92,110,44,552,13,0,367,2,18,1,4,49,3,0,0,0,0,0,0,0,0,0,0,0
33,31,12,4,3,2,122,1,49,163,186,31,327,13,1,279,2,8,2,92,43,0,0,2,0,0,0,0,0,0,0,0,0
24,7,97,1,1,3,98,2,56,39,67,38,119,12,0,168,3,8,1,13,66,2,0,2,0,3,0,0,0,0,0,0,0
33,1,11,8,1,3,108,0,31,101,51,44,348,8,5,78,2,2,0,127,52,0,1,0,0,2,0,0,0,0,0,0,0
16,9,34,7,0,1,55,11,25,69,62,9,288,16,0,163,0,12,0,361,50,0,2,0,0,0,0,0,0,0,0,0,0
12,12,10,13,0,1,35,0,32,33,22,51,121,3,0,18,3,19,0,63,30,0,1,0,1,0,0,0,1,0,0,0,0
23,9,19,1,2,1,71,6,38,73,17,42,232,22,0,116,0,6,0,188,6,0,0,6,0,0,1,0,0,0,0,0,0
10,8,6,9,14,0,40,5,48,31,93,34,144,33,0,11,6,30,1,53,49,0,0,0,0,0,1,0,0,0,0,0,0
23,10,15,3,0,5,93,2,98,76,356,19,352,25,1,56,0,1,0,49,61,0,3,1,0,0,2,0,0,0,0,0,0
8,10,17,0,0,2,104,0,106,30,85,15,224,21,0,48,0,16,0,33,28,2,0,0,0,6,0,0,0,0,0,0,0
12,21,10,7,0,1,98,2,82,46,183,18,210,23,4,99,0,7,0,40,16,1,1,0,0,0,0,2,1,0,0,0,0
5,24,16,12,1,9,80,19,91,21,51,15,201,26,2,93,0,2,0,70,18,0,0,0,0,8,0,0,0,0,0,0,0
10,7,8,10,4,3,139,4,58,24,166,24,186,17,6,90,0,3,0,77,16,0,0,0,0,7,0,0,0,0,0,0,0
8,19,12,9,0,0,42,2,70,22,51,11,149,16,4,29,0,27,0,34,70,0,1,0,0,0,0,0,0,0,0,0,0
5,5,7,8,7,1,62,0,86,43,58,60,126,14,18,20,4,7,0,27,62,0,1,0,0,0,0,0,0,0,0,0,0
12,6,0,11,0,0,25,2,67,46,59,28,132,17,11,13,6,26,0,37,43,0,2,0,0,1,0,0,0,1,0,0,0
0,8,4,9,0,0,46,6,102,61,93,15,67,5,4,7,9,9,0,18,76,0,7,0,0,0,1,0,0,1,0,0,0
16,1,11,22,3,1,13,0,99,15,141,38,88,8,0,3,0,6,0,25,29,2,3,0,0,0,0,2,0,0,1,1,0
10,4,4,24,0,0,27,3,110,7,32,67,35,7,1,12,0,0,0,20,30,0,12,0,0,0,0,2,0,0,0,0,0
5,2,8,7,0,1,14,6,57,5,23,21,84,7,1,3,0,7,0,19,0,0,1,0,0,2,0,0,0,0,0,0,0
1,0,8,32,0,0,20,0,17,24,25,2,13,10,0,7,0,1,1,8,0,5,0,0,0,0,0,0,0,0,0,0,0
3,1,7,20,0,0,5,4,8,10,23,2,17,5,0,8,1,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0
3,0,10,6,0,0,4,2,4,11,9,6,32,15,0,8,1,2,3,1,6,0,0,0,0,1,0,0,0,0,0,0,0
5,4,9,39,0,0,10,2,9,3,4,2,29,4,0,3,0,1,5,7,15,2,0,0,0,0,0,0,0,0,0,0,0
1,3,3,19,0,0,4,1,3,9,1,1,3,3,1,4,0,1,1,8,3,0,0,0,0,5,0,0,0,3,0,0,0
0,2,10,9,0,0,4,2,8,2,5,2,15,4,0,5,1,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0
2,8,4,13,0,0,0,2,6,6,0,2,10,3,0,5,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1
0,0,6,28,0,0,6,0,3,0,2,0,23,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,10,3,0,10,0,0,4,5,1,3,0,1,5,0,0,0,6,3,5,0,0,0,0,4,0,0,0,0,0,0
2,7,8,19,0,0,3,2,3,8,2,3,7,0,0,5,2,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,12,0,0,6,0,3,0,9,0,11,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,1,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,2,2,1,4,0,0,2,0,3,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0
0,0,4,0,0,0,3,0,1,1,1,0,5,1,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
0,0,1,3,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
